Date,EUR_Net_Long,EUR_Long,EUR_Short,EUR_Net_Change
2007-01-23,60234,107412,130441,1903
2007-01-30,56287,110844,129817,-701
2007-02-06,55931,110375,128055,667
2007-02-13,54738,110251,127509,-1126
2007-02-20,60126,108733,129725,-1143
2007-02-27,70842,108214,131360,-4331
2007-03-06,72602,106035,132502,-1905
2007-03-13,77305,104858,131579,-7493
2007-03-20,71532,104986,126411,-639
2007-03-27,79246,104609,128933,-7219
2007-04-03,92109,103864,124764,-10553
2007-04-10,95345,102547,125948,-2748
2007-04-17,91328,101811,124035,-495
2007-04-24,90630,102375,121998,-1416
2007-05-01,85670,101447,122921,-11870
2007-05-08,81207,100738,119776,8305
2007-05-15,77792,100675,121458,-5930
2007-05-22,83762,100392,118674,770
2007-05-29,81039,101765,124247,5886
2007-06-05,82337,102170,119461,4442
2007-06-12,79029,100125,116480,-651
2007-06-19,77962,102087,112064,12642
2007-06-26,70417,100741,115658,-4519
2007-07-03,65032,100165,117739,-3244
2007-07-10,66942,101527,118129,-3409
2007-07-17,67969,104429,119529,11048
2007-07-24,70898,109616,118020,-4855
2007-07-31,77827,109897,122794,5464
2007-08-07,89872,108573,119396,-2269
2007-08-14,89752,110701,118865,-16177
2007-08-21,83286,111172,116139,-813
2007-08-28,84021,109439,120088,280
2007-09-04,93253,110141,118426,4449
2007-09-11,89679,103288,116395,1348
2007-09-18,86036,107430,116852,2397
2007-09-25,85401,106096,118619,203
2007-10-02,87160,101045,118605,-9725
2007-10-09,92906,101874,122840,342
2007-10-16,97328,100564,120933,-12222
2007-10-23,100359,101583,121919,-198
2007-10-30,88756,103190,124481,-5642
2007-11-06,88157,103306,128294,4474
2007-11-13,83193,111220,128022,4415
2007-11-20,82557,112027,132106,3879
2007-11-27,79741,110099,131953,1183
2007-12-04,79234,108403,131471,-667
2007-12-11,83502,108065,131946,2553
2007-12-18,82696,102843,132173,5191
2007-12-25,74004,101001,132851,-9564
2008-01-01,77240,102204,133065,1589
2008-01-08,73160,101269,127210,-1741
2008-01-15,71490,102273,123515,538
2008-01-22,69941,102933,120506,-4616
2008-01-29,64184,101885,120864,6991
2008-02-05,55816,101704,123036,268
2008-02-12,56190,105377,122422,5343
2008-02-19,59937,104246,116622,-8766
2008-02-26,64388,109568,116492,-5460
2008-03-04,49737,103727,114554,-1791
2008-03-11,47776,107212,114210,-2008
2008-03-18,51460,106534,110473,3588
2008-03-25,61580,110425,107548,501
2008-04-01,67295,110209,106855,-1466
2008-04-08,61058,107362,108892,-716
2008-04-15,58700,105787,105294,-6964
2008-04-22,64569,102534,99062,806
2008-04-29,60574,101316,101155,-8537
2008-05-06,49518,101943,93192,245
2008-05-13,47186,101070,88930,-174
2008-05-20,47159,101072,94052,-1050
2008-05-27,49290,107461,93461,-3645
2008-06-03,46576,108320,93259,-2727
2008-06-10,50485,112089,91665,638
2008-06-17,48860,109027,90055,4257
2008-06-24,51756,109604,93331,-12736
2008-07-01,51958,111772,92732,11064
2008-07-08,42862,112893,92978,-8029
2008-07-15,33574,107305,91925,-2824
2008-07-22,24096,107227,86984,4708
2008-07-29,25905,108351,89856,-7040
2008-08-05,26090,111872,93896,-4298
2008-08-12,20887,115408,88963,1434
2008-08-19,23793,113882,90025,-6513
2008-08-26,18506,111348,86566,9324
2008-09-02,9433,114559,82655,494
2008-09-09,9982,108418,89139,4243
2008-09-16,15443,110634,89404,-2240
2008-09-23,18862,105889,92047,-3344
2008-09-30,14645,104403,92861,866
2008-10-07,5952,103382,92971,1623
2008-10-14,5642,105876,86632,5392
2008-10-21,13015,104517,84236,-3599
2008-10-28,17962,106148,85779,807
2008-11-04,20507,107085,84064,-4341
2008-11-11,16027,108017,82424,5796
2008-11-18,10191,111728,83199,10740
2008-11-25,13635,113274,81874,1393
2008-12-02,6442,111261,85465,-447
2008-12-09,16271,110509,85666,-4392
2008-12-16,20852,108228,89648,477
2008-12-23,16300,104837,86722,-2616
2008-12-30,15755,106735,85772,10613
2009-01-06,7790,107900,90226,2903
2009-01-13,6151,111270,85879,-7444
2009-01-20,12420,117918,87550,-950
2009-01-27,21654,115416,89751,2390
2009-02-03,25088,117853,91853,-5408
2009-02-10,13264,114902,93652,3649
2009-02-17,15693,116820,93023,4771
2009-02-24,18154,120379,95293,-5137
2009-03-03,16047,117824,92890,-2724
2009-03-10,20591,121998,92717,1734
2009-03-17,14692,120793,100002,-8331
2009-03-24,18029,122520,100583,6610
2009-03-31,17444,126438,101873,2991
2009-04-07,20006,123469,102929,2068
2009-04-14,31711,122007,104297,1189
2009-04-21,33440,124155,106699,4499
2009-04-28,31063,118671,104834,1654
2009-05-05,26470,113879,104510,11
2009-05-12,25099,113050,109423,-4647
2009-05-19,25195,113821,108555,-11360
2009-05-26,22411,115318,107863,-2965
2009-06-02,32103,116168,108451,-2980
2009-06-09,34979,117408,112204,4674
2009-06-16,32998,116952,116337,-5925
2009-06-23,40055,117652,115071,3502
2009-06-30,31734,114792,118179,-3213
2009-07-07,38339,114156,117506,-762
2009-07-14,44647,117032,111673,6469
2009-07-21,54917,116582,112542,3767
2009-07-28,55887,115830,109456,-222
2009-08-04,61523,118283,103441,1328
2009-08-11,63881,117635,111006,-12839
2009-08-18,66981,115466,111382,-2963
2009-08-25,61993,113408,114452,-582
2009-09-01,69519,116291,111953,12642
2009-09-08,71224,114439,112276,603
2009-09-15,64931,113441,112001,-3282
2009-09-22,64410,118959,109169,4597
2009-09-29,54978,115889,104910,-6122
2009-10-06,46198,112235,99797,-10276
2009-10-13,41457,112727,101566,3864
2009-10-20,45081,115851,104575,6170
2009-10-27,51570,114810,108836,-3448
2009-11-03,47219,113953,106045,1489
2009-11-10,45409,112704,104244,1495
2009-11-17,46367,116638,101355,5776
2009-11-24,46035,117516,98887,-1512
2009-12-01,47016,113884,105572,-8215
2009-12-08,40941,112267,104983,2016
2009-12-15,43679,109536,101793,-5853
2009-12-22,42636,107534,102551,-2236
2009-12-29,40355,107922,102697,-4292
2010-01-05,43515,104228,105491,7127
2010-01-12,44809,106162,105172,10965
2010-01-19,47109,105410,104269,-3267
2010-01-26,46201,106056,99558,12483
2010-02-02,53588,100773,104293,-1235
2010-02-09,51946,101233,102016,-1344
2010-02-16,58843,103605,105415,-3173
2010-02-23,57315,104949,105125,1047
2010-03-02,60709,102997,102462,-5105
2010-03-09,55598,100423,99419,-1164
2010-03-16,46244,102526,93462,9609
2010-03-23,51056,108698,88057,-185
2010-03-30,48950,104811,88385,828
2010-04-06,52983,108203,88166,-2878
2010-04-13,59886,105580,85275,-19635
2010-04-20,56145,104673,83224,4327
2010-04-27,53101,105361,85242,292
2010-05-04,53792,104776,87320,-1518
2010-05-11,52573,103462,86023,500
2010-05-18,53112,100168,80459,-5407
2010-05-25,57729,101271,82658,-2904
2010-06-01,52927,102571,86255,-1003
2010-06-08,52423,104522,90559,3595
2010-06-15,58648,105650,94410,5727
2010-06-22,63262,107738,96450,4978
2010-06-29,68042,107523,90472,7788
2010-07-06,64827,104293,88793,-559
2010-07-13,65594,108279,80328,4691
2010-07-20,68369,110910,81395,-7343
2010-07-27,70753,112891,84045,2733
2010-08-03,67759,116241,80147,-222
2010-08-10,73430,117753,81986,690
2010-08-17,77176,123945,84066,-5473
2010-08-24,71720,121767,84046,541
2010-08-31,75463,119301,87532,3920
2010-09-07,82501,122629,89075,8004
2010-09-14,80689,121720,93296,7150
2010-09-21,80274,125188,94838,7482
2010-09-28,87327,121704,96871,7415
2010-10-05,80021,126170,97361,-3856
2010-10-12,72824,128478,92225,3233
2010-10-19,76564,122309,89096,-435
2010-10-26,74826,124391,87018,5246
2010-11-02,66545,123813,86588,-4345
2010-11-09,57565,124399,89477,5006
2010-11-16,59980,126233,86111,-2323
2010-11-23,68344,128606,88059,2471
2010-11-30,65203,134337,90919,-2490
2010-12-07,61750,128954,89122,4966
2010-12-14,59317,132029,91797,3570
2010-12-21,56846,136199,89590,1639
2010-12-28,61455,135662,88285,384
2011-01-04,50773,138978,88046,7451
2011-01-11,52112,135758,90337,-11049
2011-01-18,61234,131689,91069,-2848
2011-01-25,64786,129645,94659,2366
2011-02-01,64251,131141,92284,71
2011-02-08,66282,131361,85639,-10026
2011-02-15,71652,135629,84971,-6865
2011-02-22,68410,137144,83491,-1027
2011-03-01,60721,132405,86762,3193
2011-03-08,63083,132206,83420,-2249
2011-03-15,66010,129004,83502,-3871
2011-03-22,62064,134415,85151,5434
2011-03-29,63407,135818,89532,8257
2011-04-05,58987,137815,89560,4138
2011-04-12,68613,136278,90253,-11719
2011-04-19,62568,134189,90383,9212
2011-04-26,62788,136278,89840,-4847
2011-05-03,65680,143355,91894,-1006
2011-05-10,65253,149210,92928,-2926
2011-05-17,64005,157085,89241,1841
2011-05-24,78058,158887,89920,2094
2011-05-31,82797,157585,92504,-8381
2011-06-07,70011,158934,91303,5680
2011-06-14,75757,157445,92807,-265
2011-06-21,77959,153701,89052,-2359
2011-06-28,74004,152949,87244,-2872
2011-07-05,61487,156005,88158,-1345
2011-07-12,66296,152466,90797,-4150
2011-07-19,74501,149746,88852,-4504
2011-07-26,68333,151131,89149,-2579
2011-08-02,64983,147653,88612,-8553
2011-08-09,65753,144809,90675,10581
2011-08-16,66730,147171,90050,2951
2011-08-23,67717,148917,90792,-334
2011-08-30,68841,154006,92353,-145
2011-09-06,64326,158018,90484,6048
2011-09-13,63102,157528,93876,-7320
2011-09-20,58768,162120,87213,908
2011-09-27,61613,161991,91226,638
2011-10-04,62443,162647,93782,-1932
2011-10-11,66925,156790,93994,-3159
2011-10-18,64088,159777,93008,3030
2011-10-25,56780,161685,89833,2190
2011-11-01,51123,164161,93993,-2063
2011-11-08,49770,164739,94926,963
2011-11-15,46925,167849,90614,-3120
2011-11-22,55615,168415,92888,1215
2011-11-29,54851,167644,91877,-665
2011-12-06,53649,173235,89660,8973
2011-12-13,53334,176736,91325,-2470
2011-12-20,46847,174413,87864,4448
2011-12-27,44022,178532,85845,1397
2012-01-03,45360,181830,85196,2536
2012-01-10,52659,179404,83839,-1597
2012-01-17,50583,180099,85831,1511
2012-01-24,46183,181747,81503,-8045
2012-01-31,41759,181162,81590,-2568
2012-02-07,36266,181941,83980,-6026
2012-02-14,37820,180467,86185,5753
2012-02-21,28653,183912,85819,5107
2012-02-28,35867,179832,87987,481
2012-03-06,26514,178262,95047,-6082
2012-03-13,27616,175961,93006,4005
2012-03-20,34602,177617,92529,8828
2012-03-27,35818,180405,90585,1785
2012-04-03,36448,183383,88089,125
2012-04-10,39401,182708,97868,-5938
2012-04-17,36439,179811,95826,2781
2012-04-24,30436,180727,98627,-1848
2012-05-01,30554,176533,98783,-10516
2012-05-08,29411,167624,99957,-8446
2012-05-15,22352,166043,100849,-9100
2012-05-22,26487,171152,98140,5710
2012-05-29,29721,169445,97707,-1636
2012-06-05,24283,167151,96313,-2133
2012-06-12,12807,164520,90927,-4628
2012-06-19,11581,159497,91139,4165
2012-06-26,15676,158810,91557,1083
2012-07-03,16064,161995,89248,-2011
2012-07-10,15880,158925,89393,-2767
2012-07-17,13413,156484,86285,12980
2012-07-24,14213,152811,81292,-5716
2012-07-31,19703,158805,85331,-8996
2012-08-07,16433,158539,89158,8430
2012-08-14,9131,156663,85706,6907
2012-08-21,11639,155793,81186,-1949
2012-08-28,6519,153200,80207,8540
2012-09-04,-849,151405,80886,5188
2012-09-11,3085,156347,80049,4901
2012-09-18,5052,154311,88300,-5458
2012-09-25,92,154702,94836,225
2012-10-02,4355,155107,93430,-7146
2012-10-09,3017,154904,86263,11449
2012-10-16,9649,156603,86605,-847
2012-10-23,4851,154424,89581,874
2012-10-30,2248,157046,87605,-779
2012-11-06,1486,157830,87577,-910
2012-11-13,416,160350,91075,11638
2012-11-20,862,165988,90825,7346
2012-11-27,3637,167822,89138,-1183
2012-12-04,2561,162978,92838,-274
2012-12-11,12691,161053,89475,1354
2012-12-18,13448,159318,87932,-649
2012-12-25,13186,156543,86917,6767
2013-01-01,11132,153119,88716,3627
2013-01-08,20642,153352,92982,6191
2013-01-15,20852,150975,91000,-5256
2013-01-22,18500,149207,92805,-807
2013-01-29,15435,155514,94251,5572
2013-02-05,14406,158025,89726,-5294
2013-02-12,12678,161150,91958,834
2013-02-19,2049,161017,87989,-112
2013-02-26,1760,162609,92825,344
2013-03-05,3518,157897,95886,4982
2013-03-12,6658,157283,95117,-747
2013-03-19,13464,155567,99901,-2348
2013-03-26,22566,153665,94886,-151
2013-04-02,32368,155172,93512,-5535
2013-04-09,34761,156111,98297,-2170
2013-04-16,29426,155953,96866,-772
2013-04-23,33739,156456,102041,-984
2013-04-30,35615,158603,99258,-495
2013-05-07,37367,158322,94346,-1495
2013-05-14,32575,157045,98128,-4313
2013-05-21,27238,162202,101233,-1683
2013-05-28,27572,166196,101874,524
2013-06-04,27719,168362,101401,-9804
2013-06-11,30791,164644,104517,-446
2013-06-18,28454,164492,102564,-2804
2013-06-25,33559,166385,98891,838
2013-07-02,34635,167046,97259,1368
2013-07-09,34097,167223,96193,-10265
2013-07-16,28729,165956,96047,-1722
2013-07-23,32259,162425,97777,-1679
2013-07-30,29811,165352,97388,-6217
2013-08-06,27498,170882,98288,-1075
2013-08-13,26100,170763,95856,-40
2013-08-20,39421,168267,93948,-2043
2013-08-27,41590,168578,90057,-8324
2013-09-03,41648,168965,90010,-3348
2013-09-10,47289,172307,87311,6979
2013-09-17,58807,174918,89840,1682
2013-09-24,63114,172385,87953,-2981
2013-10-01,68661,176509,91260,6506
2013-10-08,65428,181250,92637,3533
2013-10-15,69283,181483,96692,-3712
2013-10-22,68893,178362,97110,2130
2013-10-29,73276,182937,100686,1918
2013-11-05,66780,182812,100994,-2795
2013-11-12,73819,179177,95688,-9793
2013-11-19,66459,176665,92753,-7473
2013-11-26,66479,171030,91707,-1240
2013-12-03,67891,170834,94703,-1796
2013-12-10,66930,167526,90627,-1242
2013-12-17,69397,172743,93412,1762
2013-12-24,70028,180282,91705,-7890
2013-12-31,71083,179682,93509,2302
2014-01-07,67620,180815,97859,-2274
2014-01-14,65343,182501,101461,2069
2014-01-21,60281,180929,97111,538
2014-01-28,56019,176752,98313,89
2014-02-04,70357,179182,98943,-386
2014-02-11,70525,179843,100873,-605
2014-02-18,69057,182784,98921,-4311
2014-02-25,60527,182183,100241,-5697
2014-03-04,58523,181569,98861,6231
2014-03-11,55719,179445,99356,7167
2014-03-18,57013,175488,101403,-4203
2014-03-25,59947,174746,102700,-471
2014-04-01,61681,174422,105691,-2352
2014-04-08,53947,176806,101601,-4982
2014-04-15,61514,174924,100945,3395
2014-04-22,69638,180358,102780,-2180
2014-04-29,66036,180937,100323,7372
2014-05-06,66330,183283,104989,5383
2014-05-13,72891,187047,108320,8414
2014-05-20,66781,190084,106266,2667
2014-05-27,57573,187292,106329,-174
2014-06-03,50739,184049,106410,-1868
2014-06-10,56262,190823,105972,-307
2014-06-17,61247,187493,106657,6337
2014-06-24,57912,184062,107223,-31
2014-07-01,57441,185337,104986,4408
2014-07-08,56228,180799,109250,1584
2014-07-15,52995,180991,112056,-965
2014-07-22,54742,181152,113507,-5270
2014-07-29,63823,183944,108998,-770
2014-08-05,60054,184272,110601,-2088
2014-08-12,61182,183958,107947,-5344
2014-08-19,66927,182804,107487,3876
2014-08-26,62077,180136,108692,3479
2014-09-02,64929,174870,108054,4088
2014-09-09,70568,175980,102779,3546
2014-09-16,65507,175436,102335,-4587
2014-09-23,72579,173558,103828,-2962
2014-09-30,80193,179090,103653,-5947
2014-10-07,89767,181634,102224,-337
2014-10-14,93241,176466,105923,6634
2014-10-21,91432,173600,103827,255
2014-10-28,93410,171898,104847,-3050
2014-11-04,92747,175488,104375,10337
2014-11-11,95353,178865,103275,-3598
2014-11-18,97546,174783,103873,-4020
2014-11-25,89516,174593,103128,8393
2014-12-02,90918,174750,106058,347
2014-12-09,90697,176632,106253,10482
2014-12-16,91035,176102,106703,-3132
2014-12-23,85638,177496,111537,-3011
2014-12-30,80570,178353,114235,-4570
2015-01-06,80877,181846,116402,4143
2015-01-13,87789,178748,113057,-1617
2015-01-20,82673,175078,111752,-2791
2015-01-27,76023,176721,112743,-2770
2015-02-03,82175,175058,116763,8836
2015-02-10,82977,178123,110740,-1419
2015-02-17,90295,176236,109303,-1954
2015-02-24,86164,172543,109276,-10859
2015-03-03,89781,169711,104176,2224
2015-03-10,95398,160275,101301,11503
2015-03-17,92011,162559,102869,-9896
2015-03-24,93251,161261,97649,-4923
2015-03-31,93015,161727,96128,2167
2015-04-07,85241,160200,96390,-1545
2015-04-14,79483,160077,93411,-4928
2015-04-21,72143,161123,91991,5017
2015-04-28,75330,162657,89566,-80
2015-05-05,73707,161931,90206,3686
2015-05-12,71641,162118,93111,692
2015-05-19,68609,157909,86031,-9396
2015-05-26,72642,156748,87331,-6830
2015-06-02,68646,153253,85687,-3891
2015-06-09,75102,157062,80230,6494
2015-06-16,79205,152857,83449,-2148
2015-06-23,76666,154837,86892,592
2015-06-30,69792,154625,91111,-2413
2015-07-07,71146,157026,88045,9157
2015-07-14,77995,157056,87764,-8194
2015-07-21,69999,153561,87433,-6946
2015-07-28,68234,155222,93129,-1379
2015-08-04,58648,158489,96598,-7263
2015-08-11,51644,158102,102849,-5220
2015-08-18,64994,153110,105991,-6623
2015-08-25,59229,150143,109348,1378
2015-09-01,63205,153568,109460,557
2015-09-08,59053,158523,108206,-1515
2015-09-15,47610,159552,109670,-2564
2015-09-22,45976,159449,111106,6571
2015-09-29,46904,155812,111679,-2753
2015-10-06,43917,155236,112185,3813
2015-10-13,41566,158888,111989,-6717
2015-10-20,37627,156112,110541,-1300
2015-10-27,42731,153902,111514,5574
2015-11-03,46240,154837,115029,6914
2015-11-10,51921,159631,116817,12148
2015-11-17,53632,159994,118054,-4600
2015-11-24,53970,159018,119966,5571
2015-12-01,48504,160478,119238,-4007
2015-12-08,49757,164036,121732,-5600
2015-12-15,44666,163998,118625,3587
2015-12-22,40144,162805,116456,2806
2015-12-29,41224,158987,116758,7787
2016-01-05,37948,157770,116653,2439
2016-01-12,31430,161508,121275,3945
2016-01-19,31141,161965,123422,-3844
2016-01-26,28855,165808,122711,-1113
2016-02-02,35224,165027,120246,-3218
2016-02-09,36321,165230,113379,-983
2016-02-16,35584,163494,120141,4000
2016-02-23,31920,161657,122632,3826
2016-03-01,32339,158798,118975,-4515
2016-03-08,33273,150938,119494,2768
2016-03-15,41981,153588,121599,-1856
2016-03-22,40810,153681,122067,-1705
2016-03-29,40057,151702,122310,4485
2016-04-05,28769,149893,125158,-2898
2016-04-12,32217,153272,125813,-9952
2016-04-19,28370,151057,121851,3564
2016-04-26,20974,146446,117963,297
2016-05-03,22833,144996,113183,-1807
2016-05-10,28562,143589,112446,-3418
2016-05-17,20221,141581,114479,662
2016-05-24,21166,142515,114751,-130
2016-05-31,18156,136121,112646,2459
2016-06-07,20398,138899,118682,11780
2016-06-14,18312,139083,115560,-10718
2016-06-21,23883,138934,113479,330
2016-06-28,29336,138348,114631,3623
2016-07-05,28429,137314,110955,-1924
2016-07-12,32813,133684,107148,-9648
2016-07-19,40067,132414,106892,-1873
2016-07-26,29075,127985,108951,-5334
2016-08-02,28466,130163,102102,4084
2016-08-09,24326,126288,100698,62
2016-08-16,30050,130333,101246,-5301
2016-08-23,24545,128979,100728,1973
2016-08-30,29660,127607,105225,2166
2016-09-06,29752,129094,103907,-6442
2016-09-13,28798,128089,104906,12615
2016-09-20,25051,124447,102100,-5355
2016-09-27,19106,125234,104785,-7037
2016-10-04,17595,121702,100187,5772
2016-10-11,19362,121518,101995,6330
2016-10-18,9771,123046,101539,1774
2016-10-25,4987,122155,105143,2273
2016-11-01,1247,123766,104303,2550
2016-11-08,2799,127698,106838,218
2016-11-15,-3197,128031,111585,640
2016-11-22,-9158,126812,115580,-4992
2016-11-29,-10932,125536,114005,1960
2016-12-06,2428,127878,113283,8218
2016-12-13,4317,127181,116369,2341
2016-12-20,2122,127414,116748,6615
2016-12-27,4691,128360,119175,-5935
2017-01-03,3913,132774,111016,-1926
2017-01-10,8805,133721,109652,-4006
2017-01-17,8604,138300,110454,-2966
2017-01-24,3751,138959,112728,-2466
2017-01-31,6699,136006,115532,5356
2017-02-07,17090,134262,115665,1231
2017-02-14,31194,132298,110378,1440
2017-02-21,31307,133273,108341,5176
2017-02-28,25984,128831,104237,433
2017-03-07,12532,133874,107598,-1706
2017-03-14,9524,132551,104229,5527
2017-03-21,7169,130661,104313,6982
2017-03-28,6060,125764,108051,-5411
2017-04-04,-211,129690,110069,1211
2017-04-11,2979,131360,112582,1487
2017-04-18,-1886,130698,109734,5023
2017-04-25,-2444,125296,105956,4469
2017-05-02,-4288,124260,104131,9175
2017-05-09,-6438,127811,101625,3749
2017-05-16,-5206,127719,96272,-3862
2017-05-23,-15301,129466,95974,4471
2017-05-30,-12219,133517,97105,-5114
2017-06-06,-8605,138188,97181,-1617
2017-06-13,-12508,138393,92466,7218
2017-06-20,-10905,140948,91968,-2718
2017-06-27,-9618,140734,88450,1599
2017-07-04,-14127,139521,89490,-4188
2017-07-11,-17096,139765,81995,-7027
2017-07-18,-26198,142861,80976,6231
2017-07-25,-21169,140782,80274,6858
2017-08-01,-21323,141978,81906,5061
2017-08-08,-26398,139920,83111,-11661
2017-08-15,-22931,140265,83909,-3570
2017-08-22,-24618,135777,81934,1567
2017-08-29,-27340,134460,83688,262
2017-09-05,-30016,136475,83316,-5905
2017-09-12,-26374,143851,86317,8662
2017-09-19,-29077,143291,87653,4404
2017-09-26,-24626,143441,87954,-3924
2017-10-03,-28080,145644,86267,-4767
2017-10-10,-30502,142238,86060,5361
2017-10-17,-26817,144682,80075,-4940
2017-10-24,-27369,145030,82854,-220
2017-10-31,-25245,146257,83863,131
2017-11-07,-30983,150275,87752,1164
2017-11-14,-25035,147621,91025,-3341
2017-11-21,-19126,144300,97457,-2184
2017-11-28,-23956,144621,91634,-3283
2017-12-05,-27798,144522,89368,2217
2017-12-12,-32918,141468,90420,-9965
2017-12-19,-36003,137491,91794,5083
2017-12-26,-32242,135870,96887,3125
2018-01-02,-30607,137016,89590,-5226
2018-01-09,-37795,144939,84685,6136
2018-01-16,-32581,144607,83038,1201
2018-01-23,-31426,140361,81774,-5847
2018-01-30,-25854,139862,83429,2876
2018-02-06,-24086,142005,83655,-3511
2018-02-13,-21152,140867,94438,3170
2018-02-20,-24658,137995,91731,927
2018-02-27,-18830,135920,94310,1200
2018-03-06,-16711,134842,89768,11148
2018-03-13,-30535,133727,85830,2745
2018-03-20,-32817,132497,88593,3548
2018-03-27,-33014,133413,86451,2306
2018-04-03,-29404,130837,91020,-7581
2018-04-10,-28904,131865,91362,-2556
2018-04-17,-25187,124737,91439,6868
2018-04-24,-30012,125867,89725,-3806
2018-05-01,-33045,129500,87248,-2487
2018-05-08,-35222,132767,91863,6869
2018-05-15,-33005,128496,91165,-5714
2018-05-22,-33894,131579,95397,-1083
2018-05-29,-39485,133472,93380,4911
2018-06-05,-41394,127512,89534,-2057
2018-06-12,-40749,123800,85447,-2363
2018-06-19,-47159,131239,86173,-3341
2018-06-26,-48528,132908,83763,-1455
2018-07-03,-51645,128124,84535,-164
2018-07-10,-49176,119944,92147,2403
2018-07-17,-51442,113045,97864,10083
2018-07-24,-52576,109376,98266,-2020
2018-07-31,-52396,114377,95398,-1210
2018-08-07,-51647,118318,94176,-7841
2018-08-14,-50058,118517,92444,-11433
2018-08-21,-52730,120307,93685,2416
2018-08-28,-54587,124792,91375,437
2018-09-04,-51854,128040,90735,1907
2018-09-11,-49294,126765,87513,-1529
