"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230822,2023-08-22,0233AT,IFED,01,023 ,  142489,  138718,  129370,    2915,    2492,     240,       0,    8712,       0,     248,       0,       0,  142121,  140814,     368,    1675,  142489,  138718,  129370,    2915,    2492,     240,       0,    8712,       0,     248,       0,       0,  142121,  140814,     368,    1675,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    7909,    5657,    7012,    1892,       0,     240,       0,     690,       0,       0,       0,       0,    7789,    7942,     120,     -33,  100.0,   97.4,   90.8,    2.0,    1.7,    0.2,    0.0,    6.1,    0.0,    0.2,    0.0,    0.0,   99.7,   98.8,    0.3,    1.2,  100.0,   97.4,   90.8,    2.0,    1.7,    0.2,    0.0,    6.1,    0.0,    0.2,    0.0,    0.0,   99.7,   98.8,    0.3,    1.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,     16,     21,.,.,.,      0,.,      0,.,      0,      0,     21,     24,     35,     16,     21,.,.,.,      0,.,      0,.,      0,      0,     21,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    89.1,    60.4,    94.8,    77.5,    88.7,    58.3,    92.5,    74.6,    89.1,    60.4,    94.8,    77.5,    88.7,    58.3,    92.5,    74.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230815,2023-08-15,0233AT,IFED,01,023 ,  134580,  133061,  122358,    1023,    2492,       0,       0,    8022,       0,     248,       0,       0,  134332,  132872,     248,    1708,  134580,  133061,  122358,    1023,    2492,       0,       0,    8022,       0,     248,       0,       0,  134332,  132872,     248,    1708,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    8092,    8368,    2026,       0,     240,       0,       0,    5496,       0,       0,       0,       0,    8368,    7762,    -276,     330,  100.0,   98.9,   90.9,    0.8,    1.9,    0.0,    0.0,    6.0,    0.0,    0.2,    0.0,    0.0,   99.8,   98.7,    0.2,    1.3,  100.0,   98.9,   90.9,    0.8,    1.9,    0.0,    0.0,    6.0,    0.0,    0.2,    0.0,    0.0,   99.8,   98.7,    0.2,    1.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     15,     21,.,.,      0,      0,.,      0,.,      0,      0,     18,     24,     34,     15,     21,.,.,      0,      0,.,      0,.,      0,      0,     18,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    88.9,    62.8,    95.9,    78.1,    88.1,    58.8,    91.4,    73.1,    88.9,    62.8,    95.9,    78.1,    88.1,    58.8,    91.4,    73.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230808,2023-08-08,0233AT,IFED,01,023 ,  126488,  124693,  120332,    1023,    2252,       0,       0,    2526,       0,     248,       0,       0,  125964,  125110,     524,    1378,  126488,  124693,  120332,    1023,    2252,       0,       0,    2526,       0,     248,       0,       0,  125964,  125110,     524,    1378,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -4345,   -1118,   -4782,   -2294,    -434,       0,       0,     600,       0,    -651,       0,       0,   -4063,   -4616,    -282,     271,  100.0,   98.6,   95.1,    0.8,    1.8,    0.0,    0.0,    2.0,    0.0,    0.2,    0.0,    0.0,   99.6,   98.9,    0.4,    1.1,  100.0,   98.6,   95.1,    0.8,    1.8,    0.0,    0.0,    2.0,    0.0,    0.2,    0.0,    0.0,   99.6,   98.9,    0.4,    1.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     31,     13,     20,.,.,      0,      0,.,      0,.,      0,      0,     16,     22,     31,     13,     20,.,.,      0,      0,.,      0,.,      0,      0,     16,     22,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    91.1,    66.1,    95.5,    78.6,    88.4,    61.3,    90.7,    72.1,    91.1,    66.1,    95.5,    78.6,    88.4,    61.3,    90.7,    72.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230801,2023-08-01,0233AT,IFED,01,023 ,  130833,  125811,  125114,    3317,    2686,       0,       0,    1926,       0,     899,       0,       0,  130027,  129726,     806,    1107,  130833,  125811,  125114,    3317,    2686,       0,       0,    1926,       0,     899,       0,       0,  130027,  129726,     806,    1107,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2645,    2552,    2614,       0,       0,       0,       0,       0,       0,      31,       0,       0,    2583,    2614,      62,      31,  100.0,   96.2,   95.6,    2.5,    2.1,    0.0,    0.0,    1.5,    0.0,    0.7,    0.0,    0.0,   99.4,   99.2,    0.6,    0.8,  100.0,   96.2,   95.6,    2.5,    2.1,    0.0,    0.0,    1.5,    0.0,    0.7,    0.0,    0.0,   99.4,   99.2,    0.6,    0.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,     18,     24,.,.,      0,      0,.,      0,.,      0,      0,     23,     27,     38,     18,     24,.,.,      0,      0,.,      0,.,      0,      0,     23,     27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    86.4,    66.3,    91.2,    78.6,    86.3,    63.7,    90.1,    74.2,    86.4,    66.3,    91.2,    78.6,    86.3,    63.7,    90.1,    74.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230725,2023-07-25,0233AT,IFED,01,023 ,  128188,  123259,  122500,    3317,    2686,       0,       0,    1926,       0,     868,       0,       0,  127444,  127112,     744,    1076,  128188,  123259,  122500,    3317,    2686,       0,       0,    1926,       0,     868,       0,       0,  127444,  127112,     744,    1076,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6121,    5501,    3894,     279,    2252,       0,       0,       0,       0,     248,       0,       0,    6028,    6146,      93,     -25,  100.0,   96.2,   95.6,    2.6,    2.1,    0.0,    0.0,    1.5,    0.0,    0.7,    0.0,    0.0,   99.4,   99.2,    0.6,    0.8,  100.0,   96.2,   95.6,    2.6,    2.1,    0.0,    0.0,    1.5,    0.0,    0.7,    0.0,    0.0,   99.4,   99.2,    0.6,    0.8,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     38,     17,     24,.,.,      0,      0,.,      0,.,      0,      0,     22,     27,     38,     17,     24,.,.,      0,      0,.,      0,.,      0,      0,     22,     27,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    86.7,    67.1,    91.5,    79.6,    86.6,    64.8,    90.4,    75.4,    86.7,    67.1,    91.5,    79.6,    86.6,    64.8,    90.4,    75.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230718,2023-07-18,0233AT,IFED,01,023 ,  122067,  117758,  118606,    3038,     434,       0,       0,    1926,       0,     620,       0,       0,  121416,  120966,     651,    1101,  122067,  117758,  118606,    3038,     434,       0,       0,    1926,       0,     620,       0,       0,  121416,  120966,     651,    1101,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3848,    3724,    3910,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3724,    3910,     124,     -62,  100.0,   96.5,   97.2,    2.5,    0.4,    0.0,    0.0,    1.6,    0.0,    0.5,    0.0,    0.0,   99.5,   99.1,    0.5,    0.9,  100.0,   96.5,   97.2,    2.5,    0.4,    0.0,    0.0,    1.6,    0.0,    0.5,    0.0,    0.0,   99.5,   99.1,    0.5,    0.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     19,     22,.,.,      0,      0,.,      0,.,      0,      0,     23,     24,     34,     19,     22,.,.,      0,      0,.,      0,.,      0,      0,     23,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    87.3,    70.3,    92.3,    83.0,    87.2,    67.8,    91.2,    78.6,    87.3,    70.3,    92.3,    83.0,    87.2,    67.8,    91.2,    78.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230711,2023-07-11,0233AT,IFED,01,023 ,  118219,  114034,  114696,    3038,     434,       0,       0,    1926,       0,     620,       0,       0,  117692,  117056,     527,    1163,  118219,  114034,  114696,    3038,     434,       0,       0,    1926,       0,     620,       0,       0,  117692,  117056,     527,    1163,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1068,   -1080,     662,     132,    -330,       0,       0,   -1498,       0,       0,       0,       0,    -948,   -1166,    -120,      98,  100.0,   96.5,   97.0,    2.6,    0.4,    0.0,    0.0,    1.6,    0.0,    0.5,    0.0,    0.0,   99.6,   99.0,    0.4,    1.0,  100.0,   96.5,   97.0,    2.6,    0.4,    0.0,    0.0,    1.6,    0.0,    0.5,    0.0,    0.0,   99.6,   99.0,    0.4,    1.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     33,     17,     21,.,.,      0,      0,.,      0,.,      0,      0,     21,     23,     33,     17,     21,.,.,      0,      0,.,      0,.,      0,      0,     21,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    87.0,    70.6,    92.5,    82.8,    86.9,    68.0,    91.0,    77.5,    87.0,    70.6,    92.5,    82.8,    86.9,    68.0,    91.0,    77.5,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230703,2023-07-03,0233AT,IFED,01,023 ,  119287,  115114,  114034,    2906,     764,       0,       0,    3424,       0,     620,       0,       0,  118640,  118222,     647,    1065,  119287,  115114,  114034,    2906,     764,       0,       0,    3424,       0,     620,       0,       0,  118640,  118222,     647,    1065,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    6310,    6310,    2886,       0,       0,       0,       0,    3424,       0,       0,       0,       0,    6310,    6310,       0,       0,  100.0,   96.5,   95.6,    2.4,    0.6,    0.0,    0.0,    2.9,    0.0,    0.5,    0.0,    0.0,   99.5,   99.1,    0.5,    0.9,  100.0,   96.5,   95.6,    2.4,    0.6,    0.0,    0.0,    2.9,    0.0,    0.5,    0.0,    0.0,   99.5,   99.1,    0.5,    0.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     35,     17,     22,.,.,      0,      0,.,      0,.,      0,      0,     21,     25,     35,     17,     22,.,.,      0,      0,.,      0,.,      0,      0,     21,     25,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    83.5,    66.7,    90.3,    79.7,    83.0,    62.9,    87.9,    73.8,    83.5,    66.7,    90.3,    79.7,    83.0,    62.9,    87.9,    73.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230627,2023-06-27,0233AT,IFED,01,023 ,  112977,  108804,  111148,    2906,     764,       0,       0,       0,       0,     620,       0,       0,  112330,  111912,     647,    1065,  112977,  108804,  111148,    2906,     764,       0,       0,       0,       0,     620,       0,       0,  112330,  111912,     647,    1065,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5204,    3313,    5110,     744,      62,       0,       0,       0,       0,     620,       0,       0,    4677,    5172,     527,      32,  100.0,   96.3,   98.4,    2.6,    0.7,    0.0,    0.0,    0.0,    0.0,    0.5,    0.0,    0.0,   99.4,   99.1,    0.6,    0.9,  100.0,   96.3,   98.4,    2.6,    0.7,    0.0,    0.0,    0.0,    0.0,    0.5,    0.0,    0.0,   99.4,   99.1,    0.6,    0.9,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     34,     17,     22,.,.,      0,      0,      0,      0,.,      0,      0,     21,     24,     34,     17,     22,.,.,      0,      0,      0,      0,.,      0,      0,     21,     24,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    82.5,    68.9,    89.8,    82.3,    82.0,    64.9,    87.2,    75.8,    82.5,    68.9,    89.8,    82.3,    82.0,    64.9,    87.2,    75.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230620,2023-06-20,0233AT,IFED,01,023 ,  107773,  105491,  106038,    2162,     702,       0,       0,       0,       0,       0,       0,       0,  107653,  106740,     120,    1033,  107773,  105491,  106038,    2162,     702,       0,       0,       0,       0,       0,       0,       0,  107653,  106740,     120,    1033,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   30865,   30245,   31018,     620,       0,       0,       0,       0,       0,       0,       0,       0,   30865,   31018,       0,    -153,  100.0,   97.9,   98.4,    2.0,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.9,   99.0,    0.1,    1.0,  100.0,   97.9,   98.4,    2.0,    0.7,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.9,   99.0,    0.1,    1.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     30,     14,     21,.,.,      0,      0,      0,      0,      0,      0,      0,     16,     23,     30,     14,     21,.,.,      0,      0,      0,      0,      0,      0,      0,     16,     23,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    84.1,    69.7,    92.2,    83.1,    83.6,    65.6,    88.3,    76.6,    84.1,    69.7,    92.2,    83.1,    83.6,    65.6,    88.3,    76.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230613,2023-06-13,0233AT,IFED,01,023 ,   76908,   75246,   75020,    1542,     702,       0,       0,       0,       0,       0,       0,       0,   76788,   75722,     120,    1186,   76908,   75246,   75020,    1542,     702,       0,       0,       0,       0,       0,       0,       0,   76788,   75722,     120,    1186,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1457,     899,    1021,     558,     372,       0,       0,       0,       0,       0,       0,       0,    1457,    1393,       0,      64,  100.0,   97.8,   97.5,    2.0,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.8,   98.5,    0.2,    1.5,  100.0,   97.8,   97.5,    2.0,    0.9,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.8,   98.5,    0.2,    1.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     29,     13,     18,.,.,      0,      0,      0,      0,      0,      0,      0,     15,     20,     29,     13,     18,.,.,      0,      0,      0,      0,      0,      0,      0,     15,     20,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    83.3,    78.2,    94.1,    88.1,    82.4,    74.3,    90.4,    84.2,    83.3,    78.2,    94.1,    88.1,    82.4,    74.3,    90.4,    84.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230606,2023-06-06,0233AT,IFED,01,023 ,   75451,   74347,   73999,     984,     330,       0,       0,       0,       0,       0,       0,       0,   75331,   74329,     120,    1122,   75451,   74347,   73999,     984,     330,       0,       0,       0,       0,       0,       0,       0,   75331,   74329,     120,    1122,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -9207,   -8525,   -8182,     -62,    -496,       0,    -372,       0,       0,       0,       0,       0,   -8959,   -8678,    -248,    -529,  100.0,   98.5,   98.1,    1.3,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.8,   98.5,    0.2,    1.5,  100.0,   98.5,   98.1,    1.3,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,   99.8,   98.5,    0.2,    1.5,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     26,     13,     16,.,.,      0,      0,      0,      0,      0,      0,      0,     14,     17,     26,     13,     16,.,.,      0,      0,      0,      0,      0,      0,      0,     14,     17,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    84.3,    79.7,    95.2,    90.2,    82.7,    75.1,    91.0,    85.6,    84.3,    79.7,    95.2,    90.2,    82.7,    75.1,    91.0,    85.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
"NAT GAS LD1 for GDD -TEXOK - ICE FUTURES ENERGY DIV",230530,2023-05-30,0233AT,IFED,01,023 ,   84658,   82872,   82181,    1046,     826,       0,     372,       0,       0,       0,       0,       0,   84290,   83007,     368,    1651,   84658,   82872,   82181,    1046,     826,       0,     372,       0,       0,       0,       0,       0,   84290,   83007,     368,    1651,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,     810,     845,     840,       0,       0,       0,       0,       0,       0,       0,       0,       0,     845,     840,     -35,     -30,  100.0,   97.9,   97.1,    1.2,    1.0,    0.0,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,   99.6,   98.0,    0.4,    2.0,  100.0,   97.9,   97.1,    1.2,    1.0,    0.0,    0.4,    0.0,    0.0,    0.0,    0.0,    0.0,   99.6,   98.0,    0.4,    2.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     32,     18,     19,.,.,      0,.,      0,      0,      0,      0,      0,     20,     22,     32,     18,     19,.,.,      0,.,      0,      0,      0,      0,      0,     20,     22,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    80.6,    76.3,    92.2,    88.0,    79.8,    72.3,    88.3,    83.0,    80.6,    76.3,    92.2,    88.0,    79.8,    72.3,    88.3,    83.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu","0233AT","IFED","023 ","N13","FutOnly"
