"Market_and_Exchange_Names","As_of_Date_In_Form_YYMMDD","Report_Date_as_YYYY-MM-DD","CFTC_Contract_Market_Code","CFTC_Market_Code","CFTC_Region_Code","CFTC_Commodity_Code","Open_Interest_All","Prod_Merc_Positions_Long_All","Prod_Merc_Positions_Short_All","Swap_Positions_Long_All","Swap__Positions_Short_All","Swap__Positions_Spread_All","M_Money_Positions_Long_All","M_Money_Positions_Short_All","M_Money_Positions_Spread_All","Other_Rept_Positions_Long_All","Other_Rept_Positions_Short_All","Other_Rept_Positions_Spread_All","Tot_Rept_Positions_Long_All","Tot_Rept_Positions_Short_All","NonRept_Positions_Long_All","NonRept_Positions_Short_All","Open_Interest_Old","Prod_Merc_Positions_Long_Old","Prod_Merc_Positions_Short_Old","Swap_Positions_Long_Old","Swap__Positions_Short_Old","Swap__Positions_Spread_Old","M_Money_Positions_Long_Old","M_Money_Positions_Short_Old","M_Money_Positions_Spread_Old","Other_Rept_Positions_Long_Old","Other_Rept_Positions_Short_Old","Other_Rept_Positions_Spread_Old","Tot_Rept_Positions_Long_Old","Tot_Rept_Positions_Short_Old","NonRept_Positions_Long_Old","NonRept_Positions_Short_Old","Open_Interest_Other","Prod_Merc_Positions_Long_Other","Prod_Merc_Positions_Short_Other","Swap_Positions_Long_Other","Swap__Positions_Short_Other","Swap__Positions_Spread_Other","M_Money_Positions_Long_Other","M_Money_Positions_Short_Other","M_Money_Positions_Spread_Other","Other_Rept_Positions_Long_Other","Other_Rept_Positions_Short_Other","Other_Rept_Positions_Spread_Other","Tot_Rept_Positions_Long_Other","Tot_Rept_Positions_Short_Other","NonRept_Positions_Long_Other","NonRept_Positions_Short_Other","Change_in_Open_Interest_All","Change_in_Prod_Merc_Long_All","Change_in_Prod_Merc_Short_All","Change_in_Swap_Long_All","Change_in_Swap_Short_All","Change_in_Swap_Spread_All","Change_in_M_Money_Long_All","Change_in_M_Money_Short_All","Change_in_M_Money_Spread_All","Change_in_Other_Rept_Long_All","Change_in_Other_Rept_Short_All","Change_in_Other_Rept_Spread_All","Change_in_Tot_Rept_Long_All","Change_in_Tot_Rept_Short_All","Change_in_NonRept_Long_All","Change_in_NonRept_Short_All","Pct_of_Open_Interest_All","Pct_of_OI_Prod_Merc_Long_All","Pct_of_OI_Prod_Merc_Short_All","Pct_of_OI_Swap_Long_All","Pct_of_OI_Swap_Short_All","Pct_of_OI_Swap_Spread_All","Pct_of_OI_M_Money_Long_All","Pct_of_OI_M_Money_Short_All","Pct_of_OI_M_Money_Spread_All","Pct_of_OI_Other_Rept_Long_All","Pct_of_OI_Other_Rept_Short_All","Pct_of_OI_Other_Rept_Spread_All","Pct_of_OI_Tot_Rept_Long_All","Pct_of_OI_Tot_Rept_Short_All","Pct_of_OI_NonRept_Long_All","Pct_of_OI_NonRept_Short_All","Pct_of_Open_Interest_Old","Pct_of_OI_Prod_Merc_Long_Old","Pct_of_OI_Prod_Merc_Short_Old","Pct_of_OI_Swap_Long_Old","Pct_of_OI_Swap_Short_Old","Pct_of_OI_Swap_Spread_Old","Pct_of_OI_M_Money_Long_Old","Pct_of_OI_M_Money_Short_Old","Pct_of_OI_M_Money_Spread_Old","Pct_of_OI_Other_Rept_Long_Old","Pct_of_OI_Other_Rept_Short_Old","Pct_of_OI_Other_Rept_Spread_Old","Pct_of_OI_Tot_Rept_Long_Old","Pct_of_OI_Tot_Rept_Short_Old","Pct_of_OI_NonRept_Long_Old","Pct_of_OI_NonRept_Short_Old","Pct_of_Open_Interest_Other","Pct_of_OI_Prod_Merc_Long_Other","Pct_of_OI_Prod_Merc_Short_Other","Pct_of_OI_Swap_Long_Other","Pct_of_OI_Swap_Short_Other","Pct_of_OI_Swap_Spread_Other","Pct_of_OI_M_Money_Long_Other","Pct_of_OI_M_Money_Short_Other","Pct_of_OI_M_Money_Spread_Other","Pct_of_OI_Other_Rept_Long_Other","Pct_of_OI_Other_Rept_Short_Other","Pct_of_OI_Other_Rept_Spread_Other","Pct_of_OI_Tot_Rept_Long_Other","Pct_of_OI_Tot_Rept_Short_Other","Pct_of_OI_NonRept_Long_Other","Pct_of_OI_NonRept_Short_Other","Traders_Tot_All","Traders_Prod_Merc_Long_All","Traders_Prod_Merc_Short_All","Traders_Swap_Long_All","Traders_Swap_Short_All","Traders_Swap_Spread_All","Traders_M_Money_Long_All","Traders_M_Money_Short_All","Traders_M_Money_Spread_All","Traders_Other_Rept_Long_All","Traders_Other_Rept_Short_All","Traders_Other_Rept_Spread_All","Traders_Tot_Rept_Long_All","Traders_Tot_Rept_Short_All","Traders_Tot_Old","Traders_Prod_Merc_Long_Old","Traders_Prod_Merc_Short_Old","Traders_Swap_Long_Old","Traders_Swap_Short_Old","Traders_Swap_Spread_Old","Traders_M_Money_Long_Old","Traders_M_Money_Short_Old","Traders_M_Money_Spread_Old","Traders_Other_Rept_Long_Old","Traders_Other_Rept_Short_Old","Traders_Other_Rept_Spread_Old","Traders_Tot_Rept_Long_Old","Traders_Tot_Rept_Short_Old","Traders_Tot_Other","Traders_Prod_Merc_Long_Other","Traders_Prod_Merc_Short_Other","Traders_Swap_Long_Other","Traders_Swap_Short_Other","Traders_Swap_Spread_Other","Traders_M_Money_Long_Other","Traders_M_Money_Short_Other","Traders_M_Money_Spread_Other","Traders_Other_Rept_Long_Other","Traders_Other_Rept_Short_Other","Traders_Other_Rept_Spread_Other","Traders_Tot_Rept_Long_Other","Traders_Tot_Rept_Short_Other","Conc_Gross_LE_4_TDR_Long_All","Conc_Gross_LE_4_TDR_Short_All","Conc_Gross_LE_8_TDR_Long_All","Conc_Gross_LE_8_TDR_Short_All","Conc_Net_LE_4_TDR_Long_All","Conc_Net_LE_4_TDR_Short_All","Conc_Net_LE_8_TDR_Long_All","Conc_Net_LE_8_TDR_Short_All","Conc_Gross_LE_4_TDR_Long_Old","Conc_Gross_LE_4_TDR_Short_Old","Conc_Gross_LE_8_TDR_Long_Old","Conc_Gross_LE_8_TDR_Short_Old","Conc_Net_LE_4_TDR_Long_Old","Conc_Net_LE_4_TDR_Short_Old","Conc_Net_LE_8_TDR_Long_Old","Conc_Net_LE_8_TDR_Short_Old","Conc_Gross_LE_4_TDR_Long_Other","Conc_Gross_LE_4_TDR_Short_Other","Conc_Gross_LE_8_TDR_Long_Other","Conc_Gross_LE_8_TDR_Short_Other","Conc_Net_LE_4_TDR_Long_Other","Conc_Net_LE_4_TDR_Short_Other","Conc_Net_LE_8_TDR_Long_Other","Conc_Net_LE_8_TDR_Short_Other","Contract_Units","CFTC_Contract_Market_Code_Quotes","CFTC_Market_Code_Quotes","CFTC_Commodity_Code_Quotes","CFTC_SubGroup_Code","FutOnly_or_Combined"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140218 ,2014-02-18,023392 ,IFED ,01 ,023 ,  698162,   85159,  173958,  258162,   77713,  110101,   15387,   70253,   92100,   22457,   59423,  113948,  697314,  697496,     848,     666,  698162,   85159,  173958,  258162,   77713,  110101,   15387,   70253,   92100,   22457,   59423,  113948,  697314,  697496,     848,     666,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   31882,   22504,    4208,   23624,     739,     -68,  -12154,   20262,    3294,  -12740,   -3775,    7606,   32066,   32266,    -184,    -384,  100.0,   12.2,   24.9,   37.0,   11.1,   15.8,    2.2,   10.1,   13.2,    3.2,    8.5,   16.3,   99.9,   99.9,    0.1,    0.1,  100.0,   12.2,   24.9,   37.0,   11.1,   15.8,    2.2,   10.1,   13.2,    3.2,    8.5,   16.3,   99.9,   99.9,    0.1,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     79,     22,     19,     11,      9,     18,      5,     10,      8,      9,     12,     18,     74,     67,     79,     22,     19,     11,      9,     18,      5,     10,      8,      9,     12,     18,     74,     67,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    44.3,    43.1,    62.4,    64.1,    32.8,    22.2,    38.3,    31.1,    44.3,    43.1,    62.4,    64.1,    32.8,    22.2,    38.3,    31.1,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140211 ,2014-02-11,023392 ,IFED ,01 ,023 ,  666280,   62655,  169750,  234538,   76974,  110169,   27541,   49991,   88806,   35197,   63198,  106342,  665248,  665230,    1032,    1050,  666280,   62655,  169750,  234538,   76974,  110169,   27541,   49991,   88806,   35197,   63198,  106342,  665248,  665230,    1032,    1050,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4682,    8809,   -5894,   -1549,    3521,   -1847,     -58,   -4611,    5180,    2632,   16472,   -8715,    4452,    4106,     230,     576,  100.0,    9.4,   25.5,   35.2,   11.6,   16.5,    4.1,    7.5,   13.3,    5.3,    9.5,   16.0,   99.8,   99.8,    0.2,    0.2,  100.0,    9.4,   25.5,   35.2,   11.6,   16.5,    4.1,    7.5,   13.3,    5.3,    9.5,   16.0,   99.8,   99.8,    0.2,    0.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     79,     22,     19,     12,      7,     18,      7,      9,      8,      9,     12,     18,     74,     67,     79,     22,     19,     12,      7,     18,      7,      9,      8,      9,     12,     18,     74,     67,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    39.6,    47.1,    56.7,    68.2,    31.5,    29.3,    38.5,    37.3,    39.6,    47.1,    56.7,    68.2,    31.5,    29.3,    38.5,    37.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140204 ,2014-02-04,023392 ,IFED ,01 ,023 ,  661598,   53846,  175644,  236087,   73453,  112016,   27599,   54602,   83626,   32565,   46726,  115057,  660796,  661124,     802,     474,  661598,   53846,  175644,  236087,   73453,  112016,   27599,   54602,   83626,   32565,   46726,  115057,  660796,  661124,     802,     474,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1229,   -9167,    3812,   -1946,    7685,   -8834,   -4166,  -16040,   13739,    8869,   -2055,    2550,    1045,     857,     184,     372,  100.0,    8.1,   26.5,   35.7,   11.1,   16.9,    4.2,    8.3,   12.6,    4.9,    7.1,   17.4,   99.9,   99.9,    0.1,    0.1,  100.0,    8.1,   26.5,   35.7,   11.1,   16.9,    4.2,    8.3,   12.6,    4.9,    7.1,   17.4,   99.9,   99.9,    0.1,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     79,     22,     18,     12,      8,     19,      7,      8,      8,      9,     12,     18,     75,     66,     79,     22,     18,     12,      8,     19,      7,      8,      8,      9,     12,     18,     75,     66,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.1,    47.0,    58.2,    67.9,    31.5,    27.9,    38.4,    36.8,    41.1,    47.0,    58.2,    67.9,    31.5,    27.9,    38.4,    36.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140128 ,2014-01-28,023392 ,IFED ,01 ,023 ,  660369,   63013,  171832,  238033,   65768,  120850,   31765,   70642,   69887,   23696,   48781,  112507,  659751,  660267,     618,     102,  660369,   63013,  171832,  238033,   65768,  120850,   31765,   70642,   69887,   23696,   48781,  112507,  659751,  660267,     618,     102,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,  -62022,   -2413,  -12473,   -9695,    9671,  -12575,    -327,  -25761,   -3826,  -28638,  -11878,   -4604,  -62078,  -61446,      56,    -576,  100.0,    9.5,   26.0,   36.0,   10.0,   18.3,    4.8,   10.7,   10.6,    3.6,    7.4,   17.0,   99.9,  100.0,    0.1,    0.0,  100.0,    9.5,   26.0,   36.0,   10.0,   18.3,    4.8,   10.7,   10.6,    3.6,    7.4,   17.0,   99.9,  100.0,    0.1,    0.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     80,     20,     18,     12,      9,     20,      8,      7,      7,      5,     16,     19,     72,     69,     80,     20,     18,     12,      9,     20,      8,      7,      7,      5,     16,     19,     72,     69,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.5,    46.8,    60.2,    67.4,    31.8,    27.4,    38.3,    37.9,    41.5,    46.8,    60.2,    67.4,    31.8,    27.4,    38.3,    37.9,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140121 ,2014-01-21,023392 ,IFED ,01 ,023 ,  722391,   65426,  184305,  247728,   56097,  133425,   32092,   96403,   73713,   52334,   60659,  117111,  721829,  721713,     562,     678,  722391,   65426,  184305,  247728,   56097,  133425,   32092,   96403,   73713,   52334,   60659,  117111,  721829,  721713,     562,     678,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    9401,    3871,     -17,    -436,   14518,   -3422,   -6924,   -1680,    4247,   13518,   -2792,   -1453,    9401,    9401,       0,       0,  100.0,    9.1,   25.5,   34.3,    7.8,   18.5,    4.4,   13.3,   10.2,    7.2,    8.4,   16.2,   99.9,   99.9,    0.1,    0.1,  100.0,    9.1,   25.5,   34.3,    7.8,   18.5,    4.4,   13.3,   10.2,    7.2,    8.4,   16.2,   99.9,   99.9,    0.1,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     80,     21,     21,     13,      7,     19,      6,      9,      9,      9,     12,     18,     72,     72,     80,     21,     21,     13,      7,     19,      6,      9,      9,      9,     12,     18,     72,     72,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    38.9,    44.3,    56.4,    65.7,    30.6,    28.4,    38.3,    37.8,    38.9,    44.3,    56.4,    65.7,    30.6,    28.4,    38.3,    37.8,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140114 ,2014-01-14,023392 ,IFED ,01 ,023 ,  712990,   61555,  184322,  248164,   41579,  136847,   39016,   98083,   69466,   38816,   63451,  118564,  712428,  712312,     562,     678,  712990,   61555,  184322,  248164,   41579,  136847,   39016,   98083,   69466,   38816,   63451,  118564,  712428,  712312,     562,     678,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    2121,    3556,    -669,  -18790,     -34,    2453,   -1406,   -2738,    5084,    1627,  -11498,    9547,    2071,    2145,      50,     -24,  100.0,    8.6,   25.9,   34.8,    5.8,   19.2,    5.5,   13.8,    9.7,    5.4,    8.9,   16.6,   99.9,   99.9,    0.1,    0.1,  100.0,    8.6,   25.9,   34.8,    5.8,   19.2,    5.5,   13.8,    9.7,    5.4,    8.9,   16.6,   99.9,   99.9,    0.1,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     79,     19,     21,     13,      7,     18,      5,      9,      9,      8,     13,     18,     69,     71,     79,     19,     21,     13,      7,     18,      5,      9,      9,      8,     13,     18,     69,     71,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    39.4,    44.3,    56.8,    64.7,    30.4,    29.2,    37.0,    38.3,    39.4,    44.3,    56.8,    64.7,    30.4,    29.2,    37.0,    38.3,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"NATURAL GAS PENULTIMATE ICE - ICE FUTURES ENERGY DIV" ,140107 ,2014-01-07,023392 ,IFED ,01 ,023 ,  710869,   57999,  184991,  266954,   41613,  134394,   40422,  100821,   64382,   37189,   74949,  109017,  710357,  710167,     512,     702,  710869,   57999,  184991,  266954,   41613,  134394,   40422,  100821,   64382,   37189,   74949,  109017,  710357,  710167,     512,     702,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    4961,   -1341,    1865,   -4245,    1156,    2664,    1912,   22807,   21612,    1878,  -27376,  -17031,    5449,    5697,    -488,    -736,  100.0,    8.2,   26.0,   37.6,    5.9,   18.9,    5.7,   14.2,    9.1,    5.2,   10.5,   15.3,   99.9,   99.9,    0.1,    0.1,  100.0,    8.2,   26.0,   37.6,    5.9,   18.9,    5.7,   14.2,    9.1,    5.2,   10.5,   15.3,   99.9,   99.9,    0.1,    0.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     79,     18,     20,     14,      6,     18,      5,      9,      8,      8,     13,     16,     66,     69,     79,     18,     20,     14,      6,     18,      5,      9,      8,      8,     13,     16,     66,     69,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.6,    44.7,    58.0,    65.3,    31.1,    30.6,    38.7,    40.7,    41.6,    44.7,    58.0,    65.3,    31.1,    30.6,    38.7,    40.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"2500 mmbtu" ,"023392" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV" ,141230 ,2014-12-30,023393 ,IFED ,01 ,023 ,  223738,  153675,  176958,   20390,   10264,   19926,    8749,    3302,    5205,       0,     424,     338,  208283,  216417,   15455,    7321,  223738,  153675,  176958,   20390,   10264,   19926,    8749,    3302,    5205,       0,     424,     338,  208283,  216417,   15455,    7321,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    -400,     -35,    -765,      33,     -99,     171,    -589,     166,     172,       0,     124,    -124,    -372,    -355,     -28,     -45,  100.0,   68.7,   79.1,    9.1,    4.6,    8.9,    3.9,    1.5,    2.3,    0.0,    0.2,    0.2,   93.1,   96.7,    6.9,    3.3,  100.0,   68.7,   79.1,    9.1,    4.6,    8.9,    3.9,    1.5,    2.3,    0.0,    0.2,    0.2,   93.1,   96.7,    6.9,    3.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,     23,     26,      5,      5,      6,      .,      .,      .,      0,      .,      .,     37,     37,     47,     23,     26,      5,      5,      6,      .,      .,      .,      0,      .,      .,     37,     37,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.5,    45.7,    61.0,    64.5,    39.3,    41.7,    52.6,    53.7,    41.5,    45.7,    61.0,    64.5,    39.3,    41.7,    52.6,    53.7,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(Contracts of 2,500  MMBTU'S)" ,"023393" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV" ,141223 ,2014-12-23,023393 ,IFED ,01 ,023 ,  224138,  153710,  177723,   20357,   10363,   19755,    9338,    3136,    5033,       0,     300,     462,  208655,  216772,   15483,    7366,  224138,  153710,  177723,   20357,   10363,   19755,    9338,    3136,    5033,       0,     300,     462,  208655,  216772,   15483,    7366,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1587,   -2946,   -3925,    2864,     -63,     -78,   -2027,    -441,      -2,    -593,     300,     248,   -2534,   -3961,     947,    2374,  100.0,   68.6,   79.3,    9.1,    4.6,    8.8,    4.2,    1.4,    2.2,    0.0,    0.1,    0.2,   93.1,   96.7,    6.9,    3.3,  100.0,   68.6,   79.3,    9.1,    4.6,    8.8,    4.2,    1.4,    2.2,    0.0,    0.1,    0.2,   93.1,   96.7,    6.9,    3.3,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     47,     23,     26,      5,      5,      6,      .,      .,      .,      0,      .,      .,     37,     37,     47,     23,     26,      5,      5,      6,      .,      .,      .,      0,      .,      .,     37,     37,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.5,    45.8,    61.0,    64.6,    39.3,    41.9,    52.5,    53.2,    41.5,    45.8,    61.0,    64.6,    39.3,    41.9,    52.5,    53.2,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(Contracts of 2,500  MMBTU'S)" ,"023393" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV" ,141216 ,2014-12-16,023393 ,IFED ,01 ,023 ,  225725,  156656,  181648,   17493,   10426,   19833,   11365,    3577,    5035,     593,       0,     214,  211189,  220733,   14536,    4992,  225725,  156656,  181648,   17493,   10426,   19833,   11365,    3577,    5035,     593,       0,     214,  211189,  220733,   14536,    4992,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    5778,    7297,    5134,      66,    4188,   -3335,    1925,   -1842,     933,   -1580,       0,       0,    5306,    5078,     472,     700,  100.0,   69.4,   80.5,    7.7,    4.6,    8.8,    5.0,    1.6,    2.2,    0.3,    0.0,    0.1,   93.6,   97.8,    6.4,    2.2,  100.0,   69.4,   80.5,    7.7,    4.6,    8.8,    5.0,    1.6,    2.2,    0.3,    0.0,    0.1,   93.6,   97.8,    6.4,    2.2,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     50,     23,     29,      5,      5,      6,      .,      .,      .,      .,      0,      .,     37,     40,     50,     23,     29,      5,      5,      6,      .,      .,      .,      .,      0,      .,     37,     40,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.3,    45.5,    60.6,    64.3,    38.5,    42.2,    51.2,    54.6,    41.3,    45.5,    60.6,    64.3,    38.5,    42.2,    51.2,    54.6,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(Contracts of 2,500  MMBTU'S)" ,"023393" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV" ,141209 ,2014-12-09,023393 ,IFED ,01 ,023 ,  219947,  149359,  176514,   17427,    6238,   23168,    9440,    5419,    4102,    2173,       0,     214,  205883,  215655,   14064,    4292,  219947,  149359,  176514,   17427,    6238,   23168,    9440,    5419,    4102,    2173,       0,     214,  205883,  215655,   14064,    4292,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,   -1376,   -2738,    3917,    4737,   -2933,    -933,      96,     600,    -864,    -721,   -2661,    -428,    -851,   -3302,    -525,    1926,  100.0,   67.9,   80.3,    7.9,    2.8,   10.5,    4.3,    2.5,    1.9,    1.0,    0.0,    0.1,   93.6,   98.0,    6.4,    2.0,  100.0,   67.9,   80.3,    7.9,    2.8,   10.5,    4.3,    2.5,    1.9,    1.0,    0.0,    0.1,   93.6,   98.0,    6.4,    2.0,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     50,     23,     28,      6,      4,      6,      .,      .,      .,      .,      0,      .,     38,     39,     50,     23,     28,      6,      4,      6,      .,      .,      .,      .,      0,      .,     38,     39,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    41.2,    45.8,    60.7,    64.8,    37.5,    42.8,    50.5,    55.4,    41.2,    45.8,    60.7,    64.8,    37.5,    42.8,    50.5,    55.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(Contracts of 2,500  MMBTU'S)" ,"023393" ,"IFED" ,"023" ,"N13" ,"FutOnly"
"SOCAL BORDER FIN BASIS - ICE FUTURES ENERGY DIV" ,141202 ,2014-12-02,023393 ,IFED ,01 ,023 ,  221323,  152097,  172597,   12690,    9171,   24101,    9344,    4819,    4966,    2894,    2661,     642,  206734,  218957,   14589,    2366,  221323,  152097,  172597,   12690,    9171,   24101,    9344,    4819,    4966,    2894,    2661,     642,  206734,  218957,   14589,    2366,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    3015,    5287,    3131,    -302,    -307,    -426,   -1781,     304,     288,    -274,      93,       0,    2792,    3083,     223,     -68,  100.0,   68.7,   78.0,    5.7,    4.1,   10.9,    4.2,    2.2,    2.2,    1.3,    1.2,    0.3,   93.4,   98.9,    6.6,    1.1,  100.0,   68.7,   78.0,    5.7,    4.1,   10.9,    4.2,    2.2,    2.2,    1.3,    1.2,    0.3,   93.4,   98.9,    6.6,    1.1,  100.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,    0.0,     53,     25,     29,      .,      8,      7,      .,      .,      .,      .,      .,      .,     40,     43,     53,     25,     29,      .,      8,      7,      .,      .,      .,      .,      .,      .,     40,     43,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,      0,    38.6,    41.9,    59.4,    60.9,    35.3,    37.2,    49.7,    50.4,    38.6,    41.9,    59.4,    60.9,    35.3,    37.2,    49.7,    50.4,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,     0.0,"(Contracts of 2,500  MMBTU'S)" ,"023393" ,"IFED" ,"023" ,"N13" ,"FutOnly"
